Year,Words,Percentage of Keywords
2000,"['India', 'effect', 'ships', 'life', 'power', 'people', 'way', 'case', 'concern', 'night', 'Washington', 'country', 'World War', 'World Trade Organization', 'United States', 'economic crisis', 'people', 'demand', 'Southeast Asia', 'population', 'death', 'West', 'head', 'blame', 'World War', 'United Nations', 'people', 'land', 'intervention', 'humanity', 'time', 'years', 'India', 'recognition']",0.09164420485175202
2002,"['World War', 'Soviet Union', 'article', 'treaty', 'South America', 'Russia', 'China', 'summer', 'hydrogen bomb', 'West', 'limits', 'United States', 'journal', 'Japan', 'Africa', 'magnitude', 'Kashmir', 'document', 'earth', 'Death', 'days', 'land', 'collapse', 'population', 'Eurasia', 'chance', 'countries', 'response', 'map', 'world', 'month', 'Washington', 'rest', 'terrorists', 'threat', 'United States', 'terrorist attacks', 'center', 'relations', 'Moscow', 'place', 'space', 'care', 'Pakistan', 'existence', 'concern', 'United States', 'Islam', 'world', 'President', 'Soviet Union', 'countries', 'order', 'history', 'mind', 'people', 'CIA', 'allies', 'peace', 'attack', 'outbreak', 'Washington', 'object', 'years', 'place']",0.16290726817042606
2004,"['United Nations', 'United States', 'World War', 'country', 'countries', 'years', 'North America', 'plan', 'eye', 'light', 'terrorists', 'head', 'Iraq', 'cases', 'way', 'years', 'crimes', 'humanity', 'United Nations', 'trade', 'Janjaweed', 'reaction', 'genocide', 'house', 'population', 'boys', 'Afghanistan', 'war', 'Iraq', 'organization', 'lives', 'responsibility', 'order', 'shield', 'cases', 'Islam', 'United Nations', 'chance', 'rule', 'years', 'countries']",0.15355805243445692
2005,"['speech', 'world', 'head', 'forces', 'power', 'Office', 'secret', 'train', 'years', 'Boys', 'day', 'New York City', 'cities', 'sale', 'Office', 'towns', 'country', 'history', 'route', 'series', 'months', 'change', 'ship', 'spring', 'lot', 'days', 'Baltimore', 'forces', 'family', 'attempt', 'honor', 'assault', 'oil', 'days', 'image', 'lives', 'rain', 'setting', 'months', 'spring', 'lot', 'life']",0.10023866348448687
2006,"['years', 'life', 'class', 'member', 'place', 'San', 'Bush', 'independence', 'night', 'hoot', 'George', 'liner', 'depth', 'elections', 'school', 'challenge', 'sir', 'Olivia', 'world', 'story', 'years', 'life', 'world', 'country', 'military', 'days', 'Iraq', 'air', 'Korean', 'California', 'Japan', 'law', 'case', 'Taiwan', 'Philippines', 'self', 'ones', 'cover', 'care', 'dad', 'seat', 'version', 'Iraq', 'job', 'way', 'journalist', 'war', 'Des', 'order', 'food', 'life', 'Indonesia', 'rest', 'people', 'Darfur', 'table', 'Katrina', 'young', 'cost', 'result', 'life', 'years', 'class', 'day', 'phone', 'dad', 'result', 'house', 'Washington', 'administration', 'job', 'country', 'color', 'line', 'sir', 'way', 'mind', 'place', 'record', 'time']",0.17817371937639198
2007,"['years', 'members', 'night', 'month', 'country', 'lives', 'day', 'Measles', 'leader', 'article', 'lot', 'resume', 'money', 'United States', 'way', 'challenge', 'cause', 'Dad', 'job', 'student', 'chance', 'world', 'lives', 'change', 'end', 'care', 'airplane crashes', 'organization', 'power', 'votes', 'challenge', 'barrier', 'media', 'steps', 'years', 'access', 'program', 'age', 'press', 'public', 'plan', 'version', 'revolution', 'school', 'Members', 'class', 'chance', 'time', 'lives', 'wedding', 'members', 'class', 'line', 'limit', 'humanity', 'days', 'years', 'right']",0.145
2008,"['years', 'members', 'year-old', 'mind', 'win', 'law', 'step', 'spite', 'force', 'road', 'end', 'university', 'keys', 'planet', 'speech', 'people', 'years', 'kidnappings', 'London', 'light', 'exile', 'power', 'tunnel', 'period', 'success', 'case', 'default', 'press', 'humans', 'way', 'life', 'existence', 'security', 'planet', 'news', 'head', 'prisoners', 'job', 'people', 'Prime Minister', 'life']",0.11714285714285715
2009,"['Years', 'family', 'time', 'movement', 'use', 'members', 'key', 'lives', 'lot', 'change', 'table', 'gray', 'recognition', 'order', 'chance', 'Climate change', 'people', 'Earth', 'university', 'students', 'month', 'summer', 'Pennsylvania', 'United States', 'speech', 'mind', 'success', 'access', 'date', 'rate', 'town', 'species', 'night', 'lives', 'time', 'carbon emissions', 'nuclear power', 'capture', 'class', 'honor', 'movement', 'ones', 'ground', 'President', 'world', 'planet', 'world']",0.12144702842377261
2010,"['way', 'order', 'recognition', 'place', 'member', 'object', 'power', 'class', 'government', 'party', 'surface', 'mark', 'ones', 'United States', 'Supreme Court', 'Congress', 'exchange', 'story', 'construction', 'Washington Post', 'security', 'lives', 'prisoners', 'years', 'place', 'tension', 'form', 'face', 'president', 'record', 'Supreme Court', 'Brown', 'government', 'military', 'story', 'Ferguson', 'tensions', 'ground', 'product', 'ones', 'powers', 'order', 'years', 'day', 'years', 'Brown', 'order', 'power', 'Court', 'attacks', 'tensions', 'members', 'way', 'land', 'way', 'people', 'rule', 'States']",0.13211845102505695
2011,"['members', 'country', 'students', 'people', 'result', 'family', 'years', 'West Africa', 'presidents', 'America', 'rate', 'life', 'founder', 'exile', 'death', 'church', 'head', 'Washington', 'West Africa', 'civil war', 'Niger', 'days', 'Guinea', 'military', 'disaster', 'water', 'country', 'success', 'world', 'Class', 'years', 'office', 'African Union', 'China', 'India', 'independence movement', 'civil war', 'Mali', 'family', 'Nigeria', 'Brazil', 'event', 'food', 'months', 'nation', 'signs', 'power', 'spite', 'years', 'World War', 'president of Liberia', 'United States', 'Facebook', 'female president', 'motion', 'ocean', 'challenge', 'Twitter', 'Massachusetts', 'tension', 'chance', 'space', 'markets', 'months', 'table', 'YouTube', 'term', 'person', 'way', 'world', 'country', 'life', 'exile', 'head of state', 'Africa', 'Prison', 'change', 'present', 'Liberia', 'way', 'people', 'demands', 'president']",0.1421232876712329
2012,"['World War', 'students', 'New York', 'civil war', 'members', 'place', 'university', 'Afghanistan', 'scope', 'water', 'Board', 'united nations', 'financial crisis', 'person', 'job', 'security', 'earth', 'days', 'bomb', 'night', 'years', 'United States', 'human genome', 'China', 'House of Representatives', 'Africa', 'members', 'outbreak', 'peace', 'Mexico', 'person', 'rest', 'India', 'months', 'operation', 'court', 'case', 'response', 'countries', 'moon', 'lives', 'church', 'world', 'statues', 'Trust', 'mind', 'climate change', 'response', 'organizations', 'time', 'soccer game', 'days', 'virus', 'countries', 'terrorists']",0.18032786885245902
2013,"['way', 'lives', 'world', 'USA', 'journalist', 'Carl', 'order', 'seats', 'speech', 'phone', 'stage', 'members', 'day', 'hole', 'story', 'hole', 'key', 'lives', 'host', 'month', 'United States', 'order', 'TV', 'day', 'Katrina', 'Google', 'student', 'money', 'air', 'way', 'Earth', 'bar', 'country', 'change', 'time', 'life', 'Class', 'access', 'Ben', 'heads', 'roof', 'years', 'Facebook', 'YouTube', 'media', 'election', 'Earth', 'party', 'Washington', 'lives', 'history', 'government', 'light', 'Congress', 'chance', 'people', 'way', 'news', 'light', 'family', 'President Bush', 'month', 'help', 'eye', 'David', 'day', 'life', 'Facebook', 'exchange', 'test', 'member', 'country', 'night', 'humanity', 'nation', 'head', 'TV', 'family', 'world']",0.18457943925233644
2014,"['New York City', 'years', 'mosque', 'right', 'Baltimore', 'river', 'football', 'construction', 'terrorists', 'opposition', 'project', 'students', 'demands', 'law', 'students', 'Barack Obama', 'church', 'candidate', 'Iran', 'party', 'power', 'case', 'United States', 'core', 'history', 'cities', 'America', 'revolutions', 'turn', 'error', 'administration', 'chance', 'Congress', 'Washington', 'protests', 'firm', 'class', 'northeast', 'ears', 'counter', 'security', 'case', 'country', 'spring', 'year', 'fall', 'School', 'people', 'responsibility', 'people', 'lot', 'country', 'vote', 'church', 'bill', 'climate change', 'Kong', 'counter', 'shootings', 'lives', 'responsibility', 'demand', 'years', 'rest', 'department', 'evolution', 'nation', 'attack', 'crowd']",0.1503267973856209
2015,"['aim', 'power', 'challenge', 'lot', 'life', 'ball', 'time', 'years', 'trade', 'white', 'target', 'steps', 'rice', 'Barack Obama', 'theater', 'record', 'response', 'world', 'market', 'pose', 'town', 'lives', 'curiosity', 'Bs', 'seats', 'president', 'months', 'history', 'disaster', 'limits', 'Europe', 'jobs', 'terrorists', 'self', 'way', 'mind', 'family', 'center', 'use', 'Mexico', 'jobs', 'movies', 'world', 'power', 'spring', 'battle', 'right', 'years']",0.10835214446952596
2016,"['movies', 'years', 'heads', 'Force', 'people', 'day', 'high school', 'leaders', 'place', 'way', 'mind', 'honor', 'agreement', 'lives', 'walk', 'history', 'leaf', 'world', 'dad', 'countries', 'Armenia', 'book', 'man', 'Europe', 'cause', 'movies', 'Angel', 'Muslims', 'rest', 'country', 'students', 'years', 'World War', 'lives', 'criminal', 'ground', 'head', 'emotion', 'debt', 'person', 'media', 'time', 'justice', 'peace', 'curiosity', 'stand', 'lot', 'vote']",0.18181818181818182
2017,"['world', 'Facebook', 'people', 'party', 'Class', 'place', 'church', 'night', 'dad', 'reaction', 'moon', 'movie', 'speech', 'way', 'tag', 'date', 'lives', 'world', 'Movies', 'climate change', 'planet', 'moon', 'rest', 'life', 'polio', 'country', 'turn', 'fault', 'reach', 'place', 'secret', 'challenge', 'money', 'years', 'Facebook', 'way', 'vote', 'month', 'prison', 'day', 'jobs', 'lives', 'class', 'country', 'world', 'Class', 'country', 'lives', 'cities', 'students', 'trade', 'Boys', 'book', 'life', 'year', 'climate', 'story', 'horizons']",0.15025906735751296
2018,"['PLACE', 'MEMBERS', 'TIME', 'VOTE', 'WASHINGTON', 'WHITE', 'LIVES', 'STATE', 'EARTH', 'RAIN', 'MISSION', 'FORCES', 'HONOR', 'SOUTH', 'BOSTON', 'OFFICE', 'COUNTRY', 'LIFE', 'CARE', 'RESCUE', 'PLANET', 'BOY', 'YEARS', 'GEORGIA', 'RAIN', 'SON', 'VIRGINIA', 'BOY', 'BARACK OBAMA', 'PEOPLE', 'MEMBER', 'KLAN', 'SHIP', 'OFFICE', 'CONGRESS']",0.16990291262135923
2019,"['PEOPLE', 'MEMBERS', 'EUROPE', 'YEARS', 'WORLD WAR', 'CHANGE', 'COUNTRY', 'BORDER', 'END', 'TIME', 'LIVES', 'LIMITS', 'JOB', 'POLAND', 'SHOT DEAD', 'MIND', 'MONTHS', 'BANG', 'FAMILY', 'EXISTENCE', 'CLIMATE CHANGE', 'THREAT', 'COPY', 'COUNTRY', 'HUMANS', 'LIVES', 'SOVIET UNION', 'ONES', 'WORLD', 'ORDER', 'YEARS', 'SURVEILLANCE', 'LIFE', 'OPEN', 'WORLD', 'ACT', 'ORDER', 'FALL', 'WOMAN', 'ACCESS', 'LIVES', 'OLD', 'LAY', 'NATIONS', 'DAY', 'NIGHT', 'SPACE', 'DEATH', 'COLLAPSE', 'PEACE', 'WAY', 'OFFICE', 'YEARS', 'ENDING', 'STUDENT', 'German', 'TIME', 'OLD', 'LIFE', 'RIGHT', 'English']",0.1882716049382716
